patient_id,tex_state,ZFP36,ZFP36L1,ZFP36L2,ZC3H12A,RC3H1,RC3H2,PCBP1,ELAVL1,HNRNPLL,TIA1,n_cells
P12,pre-Tex,1.6715571880340576,2.187931776046753,1.0767900943756104,0.3662572205066681,0.8472471833229065,0.6813639998435974,1.031937599182129,0.17940117418766022,1.4011929035186768,0.690807044506073,43
P14,CTL_CD8,1.579573631286621,1.6319900751113892,1.3261699676513672,0.2931525707244873,0.9212056994438171,0.1981561779975891,1.111960768699646,0.24508245289325714,0.3692450225353241,0.6620590090751648,48
P14,Term-Tex,1.578844428062439,2.4712636470794678,1.1079283952713013,0.0,1.3431874513626099,0.15002690255641937,1.402389645576477,1.0103102922439575,0.9312217235565186,1.7805424928665161,6
P14,Tex-int,1.1161231994628906,1.7318652868270874,1.017535924911499,0.0,0.8445898294448853,0.28631407022476196,0.8523094654083252,0.5629054307937622,0.21755826473236084,0.5233061909675598,8
P14,pre-Tex,1.9223920106887817,1.759743332862854,1.3846534490585327,0.4228157699108124,0.9280901551246643,0.0,1.123573660850525,0.20686310529708862,0.8355756402015686,0.6026414632797241,19
P15,CTL_CD8,2.1710896492004395,1.6352401971817017,1.4205265045166016,0.8408387899398804,1.2860760688781738,0.2593909502029419,1.1700612306594849,0.42132022976875305,0.5805569887161255,0.3269575834274292,35
P15,Term-Tex,2.1952755451202393,1.4185577630996704,1.5336934328079224,1.4057635068893433,0.8189405798912048,0.278916597366333,1.101179599761963,0.1861361861228943,1.6915779113769531,0.4974306523799896,9
P15,Tex-int,1.7638568878173828,1.6501085758209229,1.3439357280731201,0.6744692921638489,1.651145100593567,0.7976065278053284,0.8295484185218811,0.26285967230796814,1.3529714345932007,0.4706979990005493,13
P15,pre-Tex,1.922196865081787,1.4546678066253662,1.4476497173309326,1.0334348678588867,1.1201177835464478,0.47477954626083374,1.0160068273544312,0.25358980894088745,1.2123500108718872,0.5482142567634583,16
P16,CTL_CD8,2.232607126235962,1.877902865409851,2.1531381607055664,0.9167712330818176,1.0123677253723145,0.2247428148984909,1.1296967267990112,0.1755293756723404,0.537329375743866,0.672049343585968,54
P16,Term-Tex,2.2624213695526123,1.7436256408691406,1.8840140104293823,0.9470821022987366,1.3861908912658691,0.6575753092765808,1.5546324253082275,0.3126066029071808,1.691742181777954,0.6683878302574158,13
P16,Tex-int,2.216723918914795,1.9712246656417847,1.6299110651016235,0.8840997219085693,1.4549336433410645,0.5880443453788757,1.2316052913665771,0.2812037169933319,1.5882002115249634,0.8407191038131714,34
P16,pre-Tex,2.076916217803955,1.5593819618225098,1.7640190124511719,0.6310486793518066,1.1954641342163086,0.25700148940086365,1.3816429376602173,0.35784631967544556,1.1828947067260742,0.8670971393585205,54
P17,CTL_CD8,2.069375514984131,1.4166462421417236,1.966441035270691,0.43625882267951965,0.6908847689628601,0.15849310159683228,0.557817280292511,0.0,0.865034818649292,0.48069313168525696,33
P17,Term-Tex,2.3492512702941895,2.0706872940063477,2.1881704330444336,0.4087526202201843,0.8945672512054443,0.19338512420654297,1.04429030418396,0.13597506284713745,0.8679129481315613,0.7004753947257996,9
P17,Tex-int,2.248030662536621,1.3812413215637207,1.9636298418045044,0.45869433879852295,0.751533567905426,0.288057416677475,0.8768670558929443,0.052404530346393585,1.237362027168274,0.34349796175956726,43
P17,pre-Tex,2.2602391242980957,1.4799985885620117,1.87152099609375,0.5345203876495361,0.7401162385940552,0.14004243910312653,0.7423272132873535,0.06458310037851334,1.0887001752853394,0.6142919063568115,62
P18,CTL_CD8,2.0632576942443848,1.732391595840454,1.4461606740951538,0.5617112517356873,1.2474114894866943,0.2951674163341522,0.801825225353241,0.0,0.39144080877304077,0.8512685894966125,21
P18,Tex-int,2.1827330589294434,2.2327966690063477,1.1919101476669312,0.8526216745376587,1.1497862339019775,0.6964927911758423,0.7762632966041565,0.0,0.9941474199295044,0.4577459394931793,5
P18,pre-Tex,2.2297964096069336,1.7996727228164673,0.6061102747917175,0.6049004197120667,0.9291648864746094,0.35384368896484375,1.3056408166885376,0.14989303052425385,0.8254208564758301,0.34832170605659485,24
P19,CTL_CD8,2.3435587882995605,1.8441848754882812,1.9050793647766113,0.6991533041000366,1.209609866142273,0.2237357497215271,0.8978676795959473,0.18881870806217194,0.3681720197200775,0.43614107370376587,29
P19,Term-Tex,2.3534598350524902,2.40128231048584,1.818648338317871,0.9987088441848755,0.6555159687995911,0.0,0.701821506023407,0.0,0.8347958922386169,0.0,2
P19,Tex-int,2.3050377368927,1.3221216201782227,1.75435471534729,0.32083505392074585,1.172245740890503,0.0,0.5922839045524597,0.5738848447799683,0.7947694063186646,0.0,7
P19,pre-Tex,2.149670124053955,1.8112183809280396,2.0051755905151367,0.9305923581123352,1.0800443887710571,0.16502827405929565,1.0900992155075073,0.08251338452100754,0.4563695788383484,0.08799391239881516,27
P20,CTL_CD8,2.163896322250366,1.2922160625457764,2.014491319656372,0.7909721732139587,1.0829048156738281,0.4910299777984619,1.0406185388565063,0.0,0.1855652928352356,0.18951547145843506,12
P20,Term-Tex,2.1629302501678467,1.7601364850997925,1.7001898288726807,0.46162301301956177,1.4873387813568115,0.685083270072937,1.1330761909484863,0.1517195850610733,1.5192023515701294,0.903130829334259,39
P20,Tex-int,1.9198559522628784,1.6797397136688232,1.4819014072418213,0.6913514733314514,1.0568866729736328,0.4242947995662689,0.9251351952552795,0.2388850450515747,1.0741158723831177,0.7943464517593384,32
P20,pre-Tex,2.000563859939575,1.613408088684082,1.8641226291656494,1.0542678833007812,0.9057919979095459,0.45724815130233765,0.9487066268920898,0.0,1.4323874711990356,0.6834426522254944,18
P21,CTL_CD8,1.8867626190185547,0.7535852193832397,1.603067398071289,0.2209995985031128,1.1407601833343506,0.29025766253471375,0.8963344693183899,0.11052348464727402,0.9006397128105164,0.5480973124504089,20
P21,Tex-int,2.3257813453674316,1.9889839887619019,1.5056315660476685,0.0,0.5411753058433533,0.5697881579399109,0.7591363191604614,0.13484369218349457,0.5483165383338928,0.5284332633018494,7
P21,pre-Tex,1.9746978282928467,1.7910270690917969,1.7294870615005493,0.0,0.9010009765625,0.07898600399494171,1.0877314805984497,0.41436702013015747,1.125044584274292,0.1544325351715088,15
P22,CTL_CD8,1.4023991823196411,1.5392405986785889,1.0244336128234863,0.704827070236206,1.102834939956665,0.14232538640499115,0.908657431602478,0.12539376318454742,0.5204562544822693,0.5522241592407227,44
P22,Term-Tex,0.8689138293266296,1.8105016946792603,1.5375421047210693,0.3557770848274231,0.0,0.5204846262931824,2.0805468559265137,0.0,0.449186772108078,0.7109729051589966,4
P22,Tex-int,1.3684338331222534,2.2470014095306396,0.9476310014724731,0.5020776391029358,1.50972580909729,0.21763171255588531,1.900270938873291,0.23392809927463531,0.6868327260017395,1.2376909255981445,9
P22,pre-Tex,1.3244119882583618,1.6261131763458252,1.0024616718292236,0.3187333047389984,1.2365974187850952,0.2913229465484619,1.1171132326126099,0.2118142992258072,0.6299073100090027,0.8268581628799438,28
P23,CTL_CD8,1.9378188848495483,1.6661040782928467,1.4383903741836548,0.5196119546890259,0.9201064109802246,0.48652130365371704,1.2507630586624146,0.3801983892917633,0.9462828636169434,0.7485328316688538,57
P23,Term-Tex,2.0125656127929688,2.1502649784088135,1.2770428657531738,0.588300883769989,1.2661384344100952,0.5316803455352783,1.3066219091415405,0.24713991582393646,1.2815806865692139,1.1529948711395264,113
P23,Tex-int,1.927072525024414,2.0580437183380127,1.1926583051681519,0.4061056673526764,1.2148908376693726,0.5024741291999817,1.4329787492752075,0.3898412585258484,1.254446268081665,1.1243360042572021,138
P23,pre-Tex,1.8437647819519043,1.7237941026687622,1.2515257596969604,0.48701366782188416,1.1338753700256348,0.4259703457355499,1.369925618171692,0.4149622917175293,0.7772943377494812,1.0446863174438477,97
P30,CTL_CD8,2.312835931777954,1.4760335683822632,1.6969096660614014,0.12178757041692734,0.5762802958488464,0.6262367963790894,0.7139464616775513,0.0,0.6146759986877441,0.9890103340148926,10
P30,Term-Tex,2.213724374771118,1.7954797744750977,1.8931939601898193,0.29112106561660767,1.2207540273666382,0.31256839632987976,1.2783066034317017,0.24614568054676056,1.2057249546051025,0.8237050175666809,42
P30,Tex-int,2.1678318977355957,1.6305166482925415,1.6011228561401367,0.2236798256635666,1.089818000793457,0.4726322591304779,1.027158498764038,0.19336450099945068,1.1882244348526,0.6255077123641968,76
P30,pre-Tex,2.1390795707702637,1.6699272394180298,1.797904372215271,0.44134074449539185,1.0210872888565063,0.4653783440589905,1.295241355895996,0.09445700794458389,1.438560128211975,0.7313530445098877,47
